country	CG	SC	ES	EQ	HS	HO	IW	JE	SW	PS	WL	numResponses
MUS	0.07567567567567568	0.07567567567567568	0.0936936936936937	0.0936936936936937	0.0990990990990991	0.08648648648648649	0.0918918918918919	0.08468468468468468	0.1009009009009009	0.0918918918918919	0.1063063063063063	15
MYT	0.044444444444444446	0.06666666666666667	0.08888888888888889	0.1111111111111111	0.08888888888888889	0.06666666666666667	0.1111111111111111	0.08888888888888889	0.1111111111111111	0.1111111111111111	0.1111111111111111	1
MEX	0.07519562454948762	0.07617653397141987	0.1030995251506662	0.08930734418774011	0.10140522705823778	0.08848991966946325	0.08941138003552081	0.09298575451998603	0.0971397572992294	0.09346877809896782	0.09332015545928111	3637
FSM	0.06201550387596899	0.07751937984496124	0.10852713178294573	0.10077519379844961	0.10077519379844961	0.09302325581395349	0.10077519379844961	0.08527131782945736	0.09302325581395349	0.08527131782945736	0.09302325581395349	3
MDA	0.07017543859649122	0.08020050125313283	0.1010860484544695	0.08939014202172096	0.0885547201336675	0.09273182957393483	0.09440267335004177	0.10275689223057644	0.0985797827903091	0.0860484544695071	0.0960735171261487	36
MCO	0.06377551020408163	0.07397959183673469	0.09438775510204081	0.09693877551020408	0.09693877551020408	0.09693877551020408	0.09438775510204081	0.09183673469387756	0.09948979591836735	0.09693877551020408	0.09438775510204081	11
MNG	0.06299212598425197	0.10236220472440945	0.11811023622047244	0.06299212598425197	0.08661417322834646	0.11023622047244094	0.1062992125984252	0.09448818897637795	0.09055118110236221	0.08661417322834646	0.07874015748031496	10
MNE	0.043478260869565216	0.07608695652173914	0.08695652173913043	0.06521739130434782	0.10869565217391304	0.09782608695652174	0.09782608695652174	0.11956521739130435	0.09782608695652174	0.08695652173913043	0.11956521739130435	4
MSR	0.078125	0.109375	0.09375	0.078125	0.078125	0.078125	0.109375	0.109375	0.09375	0.09375	0.078125	3
MAR	0.07081933316102353	0.08581028689583872	0.10157663478935125	0.0860687516154045	0.10157663478935125	0.09123804600672009	0.09382269320237788	0.09072111656758852	0.09201344016541742	0.09201344016541742	0.09433962264150944	108
MOZ	0.06369426751592357	0.07006369426751592	0.09554140127388536	0.07643312101910828	0.12738853503184713	0.12101910828025478	0.09554140127388536	0.07643312101910828	0.08917197452229299	0.08917197452229299	0.09554140127388536	4
MMR	0.0625	0.08854166666666667	0.09375	0.078125	0.09375	0.09375	0.09375	0.09375	0.11458333333333333	0.09895833333333333	0.08854166666666667	6
NAM	0.08571428571428572	0.08571428571428572	0.10952380952380952	0.09523809523809523	0.11428571428571428	0.08571428571428572	0.07142857142857142	0.0761904761904762	0.08571428571428572	0.10476190476190476	0.08571428571428572	6
NPL	0.07056451612903226	0.09274193548387097	0.09274193548387097	0.0907258064516129	0.08870967741935484	0.07862903225806452	0.10483870967741936	0.09475806451612903	0.1028225806451613	0.09274193548387097	0.0907258064516129	13
NLD	0.06872879349798784	0.08052552671032905	0.09745127436281859	0.09299297719561272	0.10238301901680738	0.09180935847865541	0.084510376390752	0.08699597569636235	0.10668350035508561	0.09200662826481495	0.09591257003077408	708
ANT	0.07754010695187166	0.08823529411764706	0.08823529411764706	0.10160427807486631	0.12032085561497326	0.0748663101604278	0.0855614973262032	0.06951871657754011	0.10695187165775401	0.0962566844919786	0.09090909090909091	11
NZL	0.06898415959344759	0.0836351840839055	0.09893496242633941	0.09671838676542142	0.10293561118019139	0.08666270205979348	0.0843380007568795	0.08725739309077148	0.10569281505108936	0.09104179056063146	0.09379899443152943	513
NIC	0.05591397849462366	0.06881720430107527	0.0967741935483871	0.08387096774193549	0.10967741935483871	0.08172043010752689	0.08387096774193549	0.08387096774193549	0.10752688172043011	0.1032258064516129	0.12473118279569892	16
NER	0.07563025210084033	0.07563025210084033	0.09243697478991597	0.05042016806722689	0.12605042016806722	0.11764705882352941	0.09243697478991597	0.07563025210084033	0.1092436974789916	0.1092436974789916	0.07563025210084033	3
NGA	0.07197696737044146	0.07773512476007678	0.10076775431861804	0.08061420345489444	0.1017274472168906	0.09213051823416507	0.09117082533589252	0.09404990403071017	0.09692898272552783	0.09980806142034548	0.09309021113243762	29
NIU	0.041666666666666664	0.05555555555555555	0.125	0.08333333333333333	0.09722222222222222	0.08333333333333333	0.08333333333333333	0.1111111111111111	0.1111111111111111	0.09722222222222222	0.1111111111111111	2
NOR	0.06789154867902496	0.0803349875930521	0.09504086994599328	0.09239527076339221	0.10509414683987739	0.09126404904393519	0.08476864691285943	0.0904247555101445	0.10438257188731571	0.0931980732739746	0.09520507955043059	1405
OMN	0.07246376811594203	0.09057971014492754	0.09782608695652174	0.09057971014492754	0.10144927536231885	0.10144927536231885	0.09420289855072464	0.08333333333333333	0.09782608695652174	0.09420289855072464	0.07608695652173914	7
PAK	0.07197763801537387	0.08211041229909155	0.09958071278825996	0.09014675052410902	0.0992313067784766	0.08874912648497554	0.09154437456324249	0.09014675052410902	0.09818308874912648	0.09993011879804332	0.08839972047519218	82
PLW	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	1
PSE	0.06166219839142091	0.08847184986595175	0.12064343163538874	0.08310991957104558	0.10991957104557641	0.0938337801608579	0.09651474530831099	0.08579088471849866	0.0938337801608579	0.08310991957104558	0.08310991957104558	10
PAN	0.06012176560121765	0.0806697108066971	0.1004566210045662	0.08904109589041095	0.09969558599695585	0.09056316590563165	0.09817351598173515	0.09969558599695585	0.10121765601217655	0.08447488584474885	0.0958904109589041	34
